skaterFullName,playerId,season,y_test,y_pred
Morgan Barron,8480289,20242025,9.0,19.747934
Juuso Parssinen,8481704,20242025,5.0,19.668045
Fraser Minten,8483489,20242025,9.0,19.50229
Noah Gregor,8479393,20242025,0.0,19.491802
Mathew Dumba,8476856,20242025,4.0,19.36931
Ondrej Palat,8476292,20242025,3.0,19.218578
A.J. Greer,8478421,20242025,8.0,19.194695
Justin Danforth,8479941,20242025,0.0,19.015741
Sean Walker,8480336,20242025,16.0,18.87775
John Klingberg,8475906,20242025,12.0,18.86784
Scott Mayfield,8476429,20242025,6.0,18.860092
Arber Xhekaj,8482964,20242025,2.0,18.812204
Derek Forbort,8475762,20242025,0.0,18.752497
William Carrier,8477478,20242025,5.0,18.670845
Sean Kuraly,8476374,20242025,7.0,18.482483
Egor Zamula,8481178,20242025,2.0,18.467585
Travis Hamonic,8474612,20242025,2.0,18.341892
Jett Luchanko,8484779,20242025,0.0,18.301079
Gabe Perreault,8484210,20242025,1.0,18.274544
Ilya Solovyov,8482470,20242025,0.0,18.26762
Steven Lorentz,8478904,20242025,6.0,18.116999
Max Crozier,8481719,20242025,6.0,18.076677
Lian Bichsel,8483425,20242025,7.0,18.049726
Mark Kastelic,8480355,20242025,12.0,17.847527
Mitchell Chaffee,8482070,20242025,0.0,17.80291
Jonah Gadjovich,8479981,20242025,3.0,17.716158
Domenick Fensore,8481562,20242025,0.0,17.534365
Jason Dickinson,8477450,20242025,4.0,17.530262
Beck Malenstyn,8479359,20242025,1.0,17.345957
Isac Lundeström,8480806,20242025,2.0,17.301199
Emil Heineman,8482476,20242025,20.0,17.278656
Victor Mancini,8483768,20242025,0.0,17.241753
Nikolas Matinpalo,8484321,20242025,4.0,17.221943
Adam Klapka,8483609,20242025,6.0,17.169693
David Jiricek,8483460,20242025,0.0,17.08793
Kaedan Korczak,8481527,20242025,8.0,17.066647
Jonathan Lekkerimäki,8483476,20242025,2.0,17.024675
Oskar Bäck,8480840,20242025,3.0,17.007719
Louis Crevier,8481806,20242025,20.0,17.003796
John Beecher,8481556,20242025,2.0,16.761503
Cole Koepke,8481043,20242025,2.0,16.570276
Ryan Shea,8478854,20242025,18.0,16.5609
Barclay Goodrow,8476624,20242025,1.0,16.517557
Noah Juulsen,8478454,20242025,4.0,16.444735
Simon Nemec,8483495,20242025,31.0,16.426208
Nick Cousins,8476393,20242025,7.0,16.396286
Calle Jarnkrok,8475714,20242025,8.0,16.314249
Vincent Desharnais,8479576,20242025,4.0,16.256628
Connor Dewar,8480980,20242025,10.0,16.204002
Dakota Joshua,8478057,20242025,7.0,16.17535
Cole Smith,8482062,20242025,6.0,16.075274
Ian Moore,8482178,20242025,5.0,16.031712
Samuel Honzek,8484180,20242025,6.0,15.963147
Dylan McIlrath,8475795,20242025,0.0,15.818804
Joakim Kemell,8483465,20242025,0.0,15.77842
Matt Rempe,8482460,20242025,2.0,15.6889515
Owen Pickering,8483503,20242025,0.0,15.5993595
Jansen Harkins,8478424,20242025,2.0,15.455868
Jacob Moverare,8479421,20242025,0.0,15.440202
Oliver Moore,8484197,20242025,4.0,15.374311
Adam Edstrom,8481726,20242025,2.0,15.370457
Emil Andrae,8482126,20242025,4.0,15.3582535
Nathan Walker,8477573,20242025,7.0,15.114341
Matthew Kessel,8482516,20242025,3.0,15.025342
Ryan Graves,8477435,20242025,3.0,14.8595
Nathan Bastian,8479414,20242025,2.0,14.579827
Cale Fleury,8479985,20242025,2.0,14.381268
Sam Lafferty,8478043,20242025,2.0,14.375137
Tyson Jost,8479370,20242025,3.0,14.334201
Brad Lambert,8483471,20242025,2.0,14.320843
Marc Gatcomb,8483553,20242025,0.0,13.897238
Aatu Raty,8482691,20242025,7.0,13.867121
Kasperi Kapanen,8477953,20242025,2.0,13.849978
Noah Philp,8481491,20242025,5.0,13.705771
Miles Wood,8477425,20242025,8.0,13.602201
Justin Sourdif,8482088,20242025,4.0,13.578806
Noel Acciari,8478569,20242025,3.0,13.527655
Brandon Tanev,8479293,20242025,1.0,13.342868
Joona Koppanen,8479533,20242025,0.0,13.230588
John Hayden,8477401,20242025,0.0,13.188381
Mathieu Joseph,8478472,20242025,8.0,13.083679
Spencer Stastney,8481056,20242025,15.0,13.077572
Justin Kirkland,8477993,20242025,1.0,12.94041
Cole Schwindt,8481655,20242025,4.0,12.916169
Curtis Lazar,8477508,20242025,2.0,12.8921795
Brennan Othmann,8482747,20242025,0.0,12.744448
Ryan Greene,8483450,20242025,6.0,12.636787
Mike Reilly,8476422,20242025,11.0,12.582297
Nikita Grebenkin,8483733,20242025,4.0,12.579714
Tyler Tucker,8481006,20242025,9.0,12.567293
Alexander Petrovic,8475755,20242025,11.0,12.536533
Bradly Nadeau,8484203,20242025,2.0,12.517067
Joshua Roy,8482749,20242025,0.0,12.388137
Marat Khusnutdinov,8482177,20242025,9.0,12.358563
Isak Rosen,8482765,20242025,8.0,12.228429
Owen Beck,8483424,20242025,0.0,12.226027
Troy Stecher,8479442,20242025,0.0,11.981399
Albert Johansson,8481607,20242025,4.0,11.777684
Pierre-Olivier Joseph,8480058,20242025,2.0,11.771092
Liam Ohgren,8483499,20242025,0.0,11.721955
Noah Ostlund,8483500,20242025,4.0,11.684111
Ethen Frank,8483573,20242025,3.0,11.539892
Haydn Fleury,8477938,20242025,0.0,11.284613
Samuel Helenius,8482726,20242025,0.0,11.133311
Ty Dellandrea,8480848,20242025,7.0,11.1207485
Ryan Lomberg,8479066,20242025,1.0,10.994763
Liam O'Brien,8477070,20242025,2.0,10.978668
Jack Finley,8482090,20242025,3.0,10.8942795
Ozzy Wiesblatt,8482103,20242025,2.0,10.778355
Rodrigo Abols,8479022,20242025,0.0,10.68761
Nikita Nesterenko,8481754,20242025,8.0,10.54381
Jacob Bryson,8480196,20242025,2.0,10.448454
Brian Halonen,8483531,20242025,2.0,10.409283
Ben Hutton,8477018,20242025,6.0,10.1000185
Rory Kerins,8482209,20242025,0.0,10.063549
Linus Karlsson,8481024,20242025,6.0,9.973538
Patrick Giles,8480825,20242025,1.0,9.917713
Tanner Jeannot,8479661,20242025,11.0,9.870999
Landon Slaggert,8482172,20242025,2.0,9.722652
Elias Pettersson,8483678,20242025,4.0,9.596232
Sonny Milano,8477947,20242025,2.0,9.585164
Cole Reinhardt,8481133,20242025,3.0,9.524466
Ryan Reaves,8471817,20242025,4.0,9.466378
Zack Ostapchuk,8482859,20242025,0.0,9.279851
Nikita Chibrikov,8482787,20242025,0.0,9.074417
Luke Glendening,8476822,20242025,3.0,9.051735
Zack MacEwen,8479772,20242025,0.0,8.52603
Jeff Malott,8482408,20242025,4.0,8.4964905
Jeffrey Viel,8479705,20242025,0.0,7.9989758
Max Sasson,8484136,20242025,8.0,7.9101567
Nicolas Deslauriers,8475235,20242025,0.0,7.770509
Dakota Mermis,8477541,20242025,0.0,7.6962156
Conor Sheary,8477839,20242025,5.0,7.4896674
Hayden Hodgson,8478173,20242025,0.0,7.310788
Adam Ginning,8480874,20242025,0.0,7.30118
Tye Kartye,8481789,20242025,4.0,7.2028317
Olle Lycksell,8480245,20242025,2.0,7.1346397
Arshdeep Bains,8483395,20242025,3.0,7.0561066
Joseph LaBate,8476425,20242025,0.0,6.7768064
Jacob Gaucher,8481848,20242025,0.0,6.65252
Caleb Jones,8478452,20242025,2.0,6.580375
Kyle MacLean,8481237,20242025,1.0,6.1197805
Daemon Hunt,8482094,20242025,2.0,6.0751176
Michael Callahan,8480828,20242025,0.0,6.0270395
Ross Johnston,8477527,20242025,5.0,5.92871
Nathan Légaré,8481594,20242025,0.0,5.894827
Oliver Kapanen,8482775,20242025,16.0,5.775253
Alex Steeves,8482634,20242025,2.0,5.718999
Josh Dunne,8482623,20242025,2.0,5.5594826
Ryan Winterton,8482751,20242025,6.0,5.1448746
Ben Jones,8480259,20242025,0.0,4.9306407
Ethan Cardwell,8482206,20242025,2.0,4.6835747
Scott Sabourin,8477149,20242025,3.0,4.662212
Donovan Sebrango,8482131,20242025,4.0,4.5959425
Hendrix Lapierre,8482148,20242025,2.0,4.2225037
Jordan Harris,8480887,20242025,5.0,4.1552963
Ben Meyers,8483570,20242025,3.0,4.1331134
Justin Hryckowian,8484829,20242025,6.0,4.0978775
Jack Ahcan,8482072,20242025,2.0,4.035068
Tyson Kozak,8482896,20242025,4.0,3.7418077
Kurtis MacDermid,8477073,20242025,0.0,3.1777136
Kyle Capobianco,8478476,20242025,0.0,2.9367092
Parker Ford,8484135,20242025,1.0,2.0836842
Nils Aman,8482496,20242025,0.0,1.4391346
