assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,season,hat_tricks,fantasy_points,target,season_start_year,height,weight,age,rookie_year,overall_pick
16,2,13,,0,56,3,Suter,0,12,8470600,9,19,0.33928,D,1,6,20202021,0,0,0.03488,L,86,Ryan Suter,MIN,1331.0178,20202021,0,41,71.0,2020,185.0,91.0,35.0,0.0,7.0
8,4,10,0.48994,1,53,5,Staal,1,10,8470595,-30,13,0.24528,C,1,3,20202021,0,0,0.06097,L,82,Eric Staal,"BUF,MTL",883.2264,20202021,0,18,43.0,2020,193.0,88.0,36.0,0.0,2.0
1,3,4,,1,27,3,Carlo,0,12,8478443,1,4,0.14814,D,0,0,20202021,0,0,0.06976,R,43,Brandon Carlo,BOS,1122.5555,20202021,0,11,36.0,2020,196.0,103.0,24.0,0.0,37.0
8,5,10,0.4703,1,40,9,Strome,0,14,8478440,-16,17,0.425,C,4,7,20202021,0,0,0.12676,L,71,Dylan Strome,CHI,930.8,20202021,0,26,76.0,2020,193.0,91.0,23.0,0.0,3.0
23,7,23,0.33333,1,50,11,Konecny,0,26,8478439,-5,34,0.68,R,4,11,20202021,0,0,0.11,R,100,Travis Konecny,PHI,953.76,20202021,1,48,68.0,2020,178.0,87.0,23.0,0.0,24.0
26,12,30,0.52011,4,56,25,Pavelski,0,16,8470794,22,51,0.91071,C,13,21,20202021,0,0,0.17985,R,139,Joe Pavelski,DAL,1141.3214,20202021,0,76,108.0,2020,185.0,89.0,36.0,0.0,205.0
4,2,6,,0,51,2,Dermott,0,19,8478408,-1,6,0.11764,D,0,0,20202021,0,0,0.05555,L,36,Travis Dermott,TOR,793.4509,20202021,0,14,16.0,2020,183.0,91.0,24.0,0.0,34.0
0,0,0,,0,1,0,Brisebois,0,0,8478465,0,0,0.0,D,0,0,20202021,0,0,,L,0,Guillaume Brisebois,VAN,691.0,20202021,0,0,0.0,2020,188.0,79.0,23.0,0.0,66.0
13,12,24,0.28571,5,47,15,Beauvillier,2,12,8478463,15,28,0.59574,L,3,4,20202021,0,0,0.13761,L,109,Anthony Beauvillier,NYI,984.0638,20202021,0,43,46.0,2020,180.0,82.0,23.0,0.0,28.0
9,6,15,0.44794,1,50,6,Roy,0,14,8478462,9,15,0.3,C,0,0,20202021,0,0,0.11538,R,52,Nicolas Roy,VGK,781.04,20202021,0,21,54.0,2020,193.0,91.0,23.0,0.0,96.0
0,0,0,0.17647,0,6,0,Dunne,0,4,8482623,-1,0,0.0,C,0,0,20202021,0,0,0.0,L,7,Josh Dunne,CBJ,623.1666,20202021,0,0,0.0,2020,193.0,94.0,22.0,,
